college,debt
Hibbing Community College,9500
Central Lakes College-Brainerd,9500
South Central College-Faribault,9700
Itasca Community College,7995
Vermilion Community College,8660
University of Minnesota-Morris,14768
Normandale Community College,8707
Northland Community and Technical College-East Grand Forks,10500
Metropolitan State University,15250
Anoka-Ramsey Community College,8862
Alexandria Technical & Community College,9500
Minnesota State College-Southeast Technical,10453
Central Lakes College-Staples Campus,9500
Minnesota West Community and Technical College,10307
Winona State University,18288
Mesabi Range Community and Technical College,9538
Bemidji State University,13500
North Hennepin Community College,9189
Ridgewater College,9500
Rainy River Community College,5500
Century College,9500
Minnesota State College-SE Technical Red Wing,10453
University of Minnesota-Rochester,18822
Minneapolis Community and Technical College,10100
Saint Cloud State University,15348
University of Minnesota-Crookston,14370
St Cloud Technical and Community College,8086
Minnesota State Community and Technical College,9575
South Central College,9700
University of Minnesota-Duluth,18925
M State-Detroit Lakes Campus,9575
Southwest Minnesota State University,15750
Minnesota State University-Moorhead,15772
Fond du Lac Tribal and Community College,10500
Lake Superior College,9250
Hennepin Technical College,10066
Anoka Technical College,10500
Rochester Community and Technical College,9500
University of Minnesota-Twin Cities,18822
Minnesota State University-Mankato,15116
Anoka-Ramsey Community College Cambridge Campus,8862
Northwest Technical College,9000
Pine Technical College,10000
M State-Moorhead Campus,9575
Northland Community and Technical College,10500
Ridgewater College,9500
M State-Wadena Campus,9575
Mesabi Range Community and Technical College,9538
Inver Hills Community College,9000
Dakota County Technical College,9990